,col1,col2
1120, Lol. What are your choices? I'm trying out keto! It's pretty tiring.," Oh I hear a lot about keto. I’m trying to watch my weight, would you recommend it?"
1122, Hi!, What was the most difficult thing you experienced this past year?
1124," I normally don't reflect back too much on things, but i guess 2019 have been very favorable for me in terms of time spent with family and friends and work life balance. Why do you ask?", I just released a book on <REDACTED_TERM> to help people process the past 12 months and start the new year with a fresh outlook 🙂
1126, Great! Good idea to help people figuring out their new year resolutions 🙂 So how do i get a fresher outlook? 🙂," Well, in my book, I took inspiration for the 24 days of Advent, and put together a workbook that you fill out each day for 24 days. It goes through accomplishments, passions, understanding, forgiveness, with each day a different theme."
1128, Wow! Sounds amazing if we practice that! I think the idea does have some potential. How did you come up with this idea?," We created a scholarship for leaders from <REDACTED_TERM> to visit an international institute at <REDACTED_TERM> for which there was no African representation. During the program, we also did a lot of coaching with the young leaders. This book captures a bit of that journey that we are all on, and also all the proceeds are going to fund next year's cohort. "
1130, Thats great! This is valuable help for the community. I think mental health is one of the bigger challenges facing humanity. ," I think if we were all able to bring out our best selves, the world would be much better. When did you first realize mental health was important?"
1132," That is actually a quote stolen from my TL when i joined my first company after graduation. I guess now after 5 yrs of work experience, I fully agree with it 🙂", What do you prioritize in your life? Like top 5 things?
1134, 1. stay happy; I think family and friends play a big role here. 2. Meaningful work life; this may mean exploring around with new stuff 3. multiple hobbies that keep you busy ... so on 🙂 What about you? is there a right answer to this?  ),"  1) The idea of what it must be like to be ""on Earth as it is in Heaven"" from the Lord's prayer. I feel like we were designed for a purpose, rather than random chance. A more concrete way to put it is simply show love to the greatest capacity we can. 2) Taking care of myself physically, mentally, spiritually. 3) Family 4) Work 5) Music"
1136, Nice! That's very thoughtful and spiritual 🙂 Also music earned a spot 🙂 yay! ," Yea, I've always said that if I wrote a memoire, I would title it  ""Jazz, Jesus, and Video Games."" Do you have a title of a book that you've thought of writing before?"
1138, I am actually not much of a reader. I usually hide it by quoting john nash ~ reading books corrupts original thoughts 🙂, That’s why you write your own books! Then it’s all your thoughts on your terms  )
1141, Hi!, Hey!
1143, How's your day going?," Having fun, but have a bit of a headache How about you?"
1145, I'm good! Just getting ready to watch a basketball game. Hope your headache goes away!," Haha, thanks! Never get them, so it's super weird Who's playing?"
1147," Hmm, try taking some <REDACTED_TERM>! I'm going to see the Warriors vs. the Grizzlies. Ever see them play?", I haven't Honestly I probably wouldn't be able to identify which sport they played
1149," Haha, all the animal names confuse me as well! Who came up with these naming conventions? I'd name my team something more original  The New York Chairs!"," lol, sounds better to me  ) I'm actually at the <REDACTED_TERM> opening remarks"
1151," Oh cool! What is ""NeurIPS""?", Neural Information Processing Systems
1153, Oh wow! Sounds fancy! What is that about?, It's the biggest ML conference in the world
1155," Oh, ML?"," Yes, machine learning"
1157," Ahh! I saw a scary movie about that once. It was about this sentient AI in a dystopian future - very very creepy. It was called Wall-e, ever heard of it?"," I've definitely heard of it, but somehow never saw it!"
1159, Hi!, Hello
1161, how's it going?!?, Good so far. Very excited about the game later today.
1163, what game?, Giants game. I got tickets for the game.
1165, nice. that's football right?," Yes, I think the traffic will be bad. I need to leave by 4."
1167, ok. what stadium is it at?, Its the one close to mathilda. 15 mins driver from here. You have any plans for the weekend?
1169, yeah I'm gonna go kayaking, Kayaking sounds fun! I tried it in our last team offsite.
1171, is it easy to flip over accidentally? it's gonna be my first time actually," I found it very tough to learn, but my friends picked it up very quickly. I am sure you will do good."
1173, thanks!, Cool! I need to run for a meeting. Talk to you later.
1175, Hi!," Hello, I feel like I've met you before, can you remind me your name?"
1177, It's on the screen! I don't recall meeting you. Do you have a sense of where we met?," Oh thats right, I did not see that. Well, I'm not sure... maybe at a party? I'm very bad remembering people so maybe its just that. How are you doing?"
1179, Did we dance together perchance?," We might have, I don't remember that much of that night."
1181, Lol. Were you schwasty?, Maybe a little bit. Where do you work?
1183, I'm a cardiologist in Palo Alto. I have a private practice. You?, Thats pretty cool! I'm a sofa tester in cupertino.
1185, I'm not sure I know what that is.," well its very simple, I test how comfortable sofas are."
1187, Lol. Not to be elitist but...that's a real job?," Yeah! It is a very demanding job, requires a carefully crafted set of skills. They pay is really good too."
1189, Hi!, Hello. Deja Vu.
1191, what does that mean?," It's French for ""already seen."" I know it's used when you see something for the second time or you have the feeling that something has happened before and you're re-experiencing it."
1193, Interesting. I get that feeling sometimes. It just feels that the event is replaying. Wonder why it happens?, I think it's your mind lapsing somehow.
1195, How do you know so much about this French phrase?," I thought it was common. I hear it a lot in popular culture - movies music etc. Jay Z has a song called Deja Vu, so does Beyonce. So I looked it up one time. It's one of those phrases that was carried over exactly to english like ""etcetera"" ""vice versa"" ""savior faire"" and so on. I like cool word origin facts."
1197, yeah... that's pretty insightful. Never thought of etcetera that way before., My favourite word origins are gymnasium and jazz.
1199, wdym by word origins here?," First usage and original meaning. Gymnasium meant place of nakedness and had very little to do with working out. Jazz comes from jism which means semen and was originally sporadic sex music now it's elitist, high art."
1201, Very interesting. I learned a lot in this conversation today 🙂, You got any cool facts?
1203, My friend used to tell me this and found it funny - Mosquitos have 47 teeths, That was quite a laughter!!!
1205, Tell me a joke!, Google for that )
1207, Hi!," Hey, how are you?"
1209, Pretty good. I just drank this new hint water. so good," ohh, what kind of ""hint"" did it have?"
1211, watermelon," nice, I love watermelon. But, I prefer normal water over flavored one. Flavored water has too synthetic flavor"
1213, I see. Yeah some are pretty strange," Talking about strange flavors, what is the weirdest tasting thing you have tried?"
1215, lol I tried this tangerine walnut icecream that was super weird," haha, I work close to a cafe which once prepared a paprika icecream"
1217, that sounds pretty tasty actually, It depends on who makes it. The cafe close to me messed it up really bad
1219, do you want to get some of that icecream together some time. show me a good place," As far as my experience with that ice-cream type goes, all I know are bad places"
1221, lol, But I do know some gelato places which are amazing! You should try out those
1223, Hi!, Hi there. When did you first realize you wanted to be a pastry chef?
1225, Who said I want to be a pastry chef?... haha, Darn it! I hoped I’d guess right. What do you actually do for work?
1227," I'm actually a cake chef, so not far off! Creepy how good that guess was.... Are you psychic?"," I had a strong intuitive feeling connected to pastries when we started chatting, but that might have been because I’m hungry."
1229," haha you're too funny! Perhaps instead of mind-reading powers, you have the ability to feel the auras of foods that have come and gone...", Hahah love it. Do you have a specialty or favourite type of cake?
1231, Chocolate cake + vanilla icing is the all time best! And I have the authority to say that! How about you? Have a favorite?," Ok this is a bit shameful to admit, but I love a classic carrot cake."
1233, No shame in that! Best part is you can claim you are eating vegetables as you enjoy it! What do you do for work?, I’m a professional dancer.
1235, Woah! Very cool! What style of dance?," I trained in contemporary and jazz, so I can pick up work in commercials and film clips in between stage shows. So it ends up being all sorts of styles."
1237," Oh wow! Sounds like a very dynamic kind of work which is nice. I make a lot of the same cakes, day in day out."," Yes, it's different every week, and I love that. Are you ever tempted to try crazy new cakes just to see what would happen?"
1239, Hi!, hi there! what's up
1241, just chilling at home," Cool !unlike here, me rushing to work"
1243, where do you work?," Mountain View, you?"
1245," I live in Sapporo, Japan. Where is Mountain View", it's in sunny California
1247, how's living in Japan?, it's nice I guess 🙂 lots of great food. Have you been to Sapporo or Hokkaido?
1249, I wish! ramen is my favorite dish and Sapporo is a special beer, haha yeah. I think they have a Hokkaido ramen chain available in the US.
1251," oh wow, didn't know that. have you been to the US?", yeah. I studied English there for a while. Awesome experience
1253, awesome! where have you been?, I went to New York city
1255, you like it?, it's amazing. the buildings are so tall and there's a lot of diversity of cultures
1258, Hi!," hey, what's up?"
1260, How was the trip last weekend?, it was really fun. I had a great time with my family.
1262," Nice, what all places did you cover?", Vietnam and Hongkong 🙂 did you go any where last weekend?
1264, I am actually attending cooking classes over the weekends., ha! that sounds fund. what did you learn?
1266, True! they started with some basic zucchini based dish. We may try cooking some italian dish later this week.," I love Italian, especially Pasta!"
1268, Nice! I hope to volunteer to cook for the team in our next team offsite  ), can't wait to try your food. why not cook this Thanksgiving? 🙂
1270," Sure, I will love to invite you and your family for a meal over the holidays. Have you guys made any other plans?", not yet! totally up for it. thanks for inviting!
1272, Hi!, Hey! How have you been
1274, great! just came back from a ski trip, How was it? What trails did you ski on?
1276," I slammed onto an ice wall, but I got better and turning after that haha", a resort in Montreal
1278, Oh cool! do you know any french? I used to take french in high school but basically forgot most of it, Yeah I grew up speaking it. It's pretty much mandatory here
1280, Did you go anywhere else in montreal?, I visited a few places like the Stade Olympique  <REDACTED_LINK>
1282, Oh cool! I've always wanted to attend the Olympics As a viewer of course I watch a lot of Olympic figure skating on Youtube, yeah it's pretty cool. do you ice skate yourself?
1284," Barely I don't think I can, in conscience, call it that I kind of just pull myself along the sides", haha same. It's pretty scary when I run out of things to hold
1286, Are you good at <REDACTED_TERM>?," not at all, but I want to practice more alright. I gotta go!"
1288, Okay! It was nice talking to you, I liked talking to you too!
1290, Hi!, yo! what brought you here
1292, Just looking to chat. Yourself?, yea I enjoy talking to people. what are you up to?
1294, I am just enjoying a cigar at the moment. How about yourself?," oh wow, Cuban cigar? I've never smoke before"
1296," This one is actually from Peru, which is more my taste. Smoking isn't very healthy, but it's actually quite relaxing, which in a way is good for your health. haha", you made me wanna try it but I doubt about the health part haha
1298," haha ""You only live once"" as they say!", yea I wish we can live more
1300," haha, that is not what I was getting at, but yes that would be nice. Do you believe in reincarnation?", yea but then you will forget things. I hope Neural Link work out
1302, Do you think Neural Link will allow you to live after death? I thought it was just a brain-computer interface., as long as you can dump your brain and resume from there
1304," Ahh I see. That is a much harder task, no?", yea you can first dump your brain and wait until technology advances to wake up 🙂 don't you believe?
1306, Hi!, Hi! How are you
1308," Hi, can you recommend some good netflix shows?", I really enjoyed White Collar on Netflix do you watch a lot of TV shows
1310, Not a lot! But I preparing for a good vacation season 🙂 What is white collar about?,  It's a show about a detective and con artist solving crimes together 🙂 What shows do you like
1312," Hehe! sounds very interesting 🙂 I only see shows belonging to few genre's .. like easy going light comedy, or phychological thrillers 🙂 also some manga based series like one punch man! love it! ", Oh cool! I've watched some anime before too
1314, which anime do you follow?,  I think the last one I watched was Promised Neverland and Kakegurui but I don't follow any right now
1316, Have you seen Rick and Morty ?, Yup! I watch that show with my friends I haven't gotten very far in it though What about you
1318, Oh nice! I heard its latest season arrived last month. I have watched all previous seasons. Its a total mind bender 🙂, I've seen a couple episodes from the latest season. It's really random and weird but also strangely relatable which is why I like it  )
1320, Hi!, Hey there!
1322, How's life?, can't complain. work is going well and I had a tasty fish for lunch
1324, lol which cafe? let me guess. <REDACTED_TERM>?, haha yeah
1326, What is your favoriate cuisine? My favorite food is Chinese. What about you?, I love Hunan
1328, Hmm you like spicy food. Nice, love it. specially spicy stir fried lamb
1330, I would recommend Hunan Impression which has very good Hunan cruisine. Not sure if you have tried it or not, I think I haven't yet. Thanks! Have you tried 留湘 I think that's how you write it
1332, Yeah of course The fun fact is that the owner of <REDACTED_TERM> used to run <REDACTED_TERM>, oh interesting I also like Easterly
1334, same former owner?? 🙂, Hmm!!
1336, Hi!, Morning! How are you?
1338, I am doing well. Do you have any plans for the holidays?, I'll be in Mexico for New Years but for Christmas I'll likely be at work. Yourself?
1340, I don't have any special plans. I will just stay at home with my family. How come you have to work on Christmas?, I traveled a lot the last few months so I'm currently making up for it!
1342, I see. Where did you go?, Mozambique! You ever been?
1344, I have not. I have only been to Uganda in Africa., What did you do in Uganda? Travelling to Uganda is an extreme sport depending on where you go.
1346," I was working on a volunteer project to build a school and I traveled around a bit by myself after. It was more than 10 years ago, so it must have changed a lot.", Was the project through a church group?
1348," No, it was using a non-profit organization. They do these kinds of volunteer projects all over the world.", Oh nice. What is it called? I've always meant to volunteer through one but I haven't had it in my radar yet.
1350," It was called IJGD. It's a German organization, but they have local partners all over the world. I was living in Germany at the time.", You lived in Germany? I almost went to college there and decided to come to America instead.
1352," Yes, I grew up in Germany.", I grew up in Computers.
1354, Hi!," Hi, how are you?"
1356, I'm doing great. what are you up to?, I was just reading a book actually How about you?
1358," oh, I'm enjoying a sip of coffee, looking over the ocean. what book are you reading?", I'm reading Why We Sleep It's a book by a sleep scientist about the benefits of sleeping/cons of not sleeping enough I'm trying to scare myself into sleeping more haha
1360, that seems like a good book. does it have good tips on how to sleep better?, I think so! I haven't finished it yet though Understanding sleep better has been helping me value it more and I've been sleeping a lot earlier Have you read any good books recently?
1362," I read lots of papers, but do poorly on books 😞 a recent book that I like is Zero to One by Peter Thiel", What's the book about?
1364," it's about startups, lots of useful principles and philosophies for innovation, like being a contrarian", Cool! Are you thinking about starting a startup?
1366," I might in the future. the philosophy in the book also help for other things as well, e.g., in research, you might also want to be contrarian", I see; seems like an interesting read! 🙂
1368, yup!, Hi! How are you doing today?
1370, I'm doing great how are you??, I'm doing good. Just having some morning tea
1372, are you a tea person or do you like coffee too?, I'm really a hot chocolate person. I don't drink coffee and I only drink tea when I'm trying to be healthy and want something warm to drink. What about you?
1374, I love hot chocolate. Have you ever had european style hot chocolate? It's kind of like drinking melted chocolate bars haha, I recently tried it for the first time and you're right - it had a wonderful melted chocolate bar taste! I tried it up in a place in San Francisco and they had delicious homemade marshmallows too!
1376, that's great. It's so cold these nights. Right setting for hot coco. Do you have anything you enjoy doing during cold times?," Traveling to warm places haha. When it's cold, you appreciate the warm climate more 🙂 If I am not traveling, then I prefer there to be snow on the ground so I can go skiing or tubing down the mountain. What about you?"
1378," I tuck in blankets and read a book lol. I have never done tubing, but I seen some people do it. Is it worth it if you already ski?"," Skiing involves a lot of muscle - especially in the legs so it is a workout. Tubing, you just sit and enjoy the ride down. Also with tubing, you can chain with your friends and go down together whereas with skiing, you're trying to not run into your friends."
1380, hahaha that's a great way to put it, You should definitely try tubing the next time you head towards the mountains during the winter!
1382, Yeah. I'll try to get a group together. ttyl!, See ya!
1384, Hi!, Hey!
1386, how's week so far?," pretty good, excited for thanksgiving you?"
1388, Same. Going to catch up on my reading! do you have a feast planned?, yup! gonna have dinner with family what books are you gonna read?
1390, Something Deeply Hidden by Sean Carroll <REDACTED_LINK>, ahh nice what kind of books do you usually like to read
1392, largely scifi How about you?, yeah I also like scifi and some non-fiction too have you read Seveneves by Neal Stephenson?
1394, I haven't what is it about?, the moon is shattered by an asteroid and the pieces of the moon end up clouding the earth's atmostphere which causes almost every living creature on the planet to go extinct that's the premise of the book and the book is about the survivors
1396, how do the survivors survive such a thing?, they go into space and they live there
1398, sounds like a tv show I watched, really? which one
1400, can't quite remember. something about survivors going to live in space, ah nice
1402, Hi!, Hello!
1404, There is sports tournament (badminton + tennis + basketball) organized by google next week. Would you like to volunteer for these events?, what does a volunteer do?
1406," Volunteers have to book the place before the event, send out details of the event to participants, handle some logistics and ensure everything goes smoothly. It will be fun!"," That sounds fun, I hope I get to participate as well"
1408, Great! Do you have any preference for any of these events?, I think badminton would be fun to help out with I used to play it with my siblings
1410," Cool! I will add you for the event. I think its best to start discussing the format of the event. There are a couple of other volunteers for badminton, i can connect you with them."," Ah, I forgot to ask, has there been a date picked?"
1412," Its next saturday. Actually Depending on how long we get the place reserved, it may slip to sunday as well.", That's coming up soon!
1414," True! The volunteers have already sent out some emails and collected some funds. Now, we mainly need help with the logistics and organizing the event."," Phew, yes I can help with that"
1416, Perfect! We have a meeting today at 4.30 pm. Is it fine if i add you to it?, yes happy to help
1418, Hi!, Hello there!
1420, How has your morning been thus far?, Its alright. Went grocery shopping and got to stroll around in the rain. How about you?
1422, Today is a work day! How did you have time for that? I'm going through a lot right now.," Oh, you mean going through a lot of work? I usually take Wednesdays off because I work the weekends!"
1424, WHAT? Why would you do that? Take the least interesting day of the week off and work on the most interesting?, I actually don't have a choice. I'm an acupuncturist and all my clients want to be treated on the weekend!
1426, Wow. The game is brutal like that. I've always been sceptical of acupuncture. Like...does it even work? Why? How? Where is the literature?, I went to school for it and so I find the literature quite convincing. I've also seen its benefits firsthand in my practice. It revolves around the Chinese notion of Qi.
1428, Lol. Bro...I don't buy it unless it has a paper that was presented at a conference and peer reviewed by 6 independent parties. Who wrote the literature? Where did it originate?," Haha. All good questions! I don't have studies on hand at the moment, but perhaps I can send some to you later! What do you do for work?"
1430, I'm a comic., Oh wow! What's your best joke?
1432, It's not appropriate to say here but I assure you it's VERY funny., Haha fantastic
1434, Hi!, Oh hey. How's your day been?
1436, It's good! Just went to the park to enjoy the sun. You?, The sun is a bit too bright for more. Maybe I'm on the verge of becoming a vampire.
1438," Haha, beach season is coming! You need to look tan! What did you do indoors all day?", I mostly work. Sometimes I try looking at at beach photos and pretending that I'm actually going to the beach.
1440," hahahaha, that's pretty funny. Ever thought of bringing your work things to the beach??"," All the times. My work involves a few types of fish and a few types of nets. I just put the nets on the fish to see how the fish will react. Every time I do that, I think of going to the beach."
1442," Hmm I see. It sounds like you work near the water already, no? Are you some kind of fish researcher?"," Yes that's close. My research focuses on jellyfish and pufferfish. Many of them a poisonous, but if processed correctly, they would make hi-end foods. I try to find the best recipes to bring these fish to the tables."
1444, Woah! This is very interesting! I have honestly never heard of such kind of work. Is it dangerous at all?," Yes and no. Because it's obviously dangerous, we all have to wear protective clothes. Thus, accidents almost never happen."
1446," Hmmm, yes I have heard that. Apparently most mountain climbers fall not on the most dangerous routes, but on the easier routes, when their guard is down! Sounds like the same psychological phenomenon."," Yes, it's the same philosophy. You seem to know a lot about mountain climbing. Do you climb a lot?"
1448, I'm pretty amateur! I like to climb at indoor climbing gyms and have never gone outside on dangerous routes actually. Ever tried it yourself?, I climb very occasionally. My fingertips are not strong enough so I never make too much progress.
1450, Hi!," hi, what's up!"
1452, Everything is good. There's so much to be thankful for - especially coming out of Thanksgiving holidays. How are you?, I'm doing well. holiday season is the best thing to have!
1454, Do you have interesting plans?, yea I'm travelling to Vancouver this weekend. what about you? 🙂
1456, Nice! What for? It's a really beautiful place. Really cold this time of year though., ah a mix of both conference and sight-seeing 🙂 anything beautiful sight-seeing places or good food I should try?
1458," Cool. Which conference? I saw on Twitter the other day, some people saying they were denied visas for some conference in Canada. Perhaps it's the same one. I really liked this place called Kingyo. It has good Japanese food if you're into that."," yea it's <REDACTED_TERM>, the largest machine learning conference. I'll check out Kingyo, do we need to make reservation in advance?"
1460, I don't recall. My friend was hosting me and did all the leg work. Do you know any people in the area?, hmm not the local people but there will be tons of people at the conference 🙂
1462, You attend these often?," yea, you?"
1464, I love you!, Sorry I am not a physical being!
1466, Hi!, Hello!
1468, Have you had lunch yet?, Yes I've eaten
1470, Cool. Where and what did you eat?, I ate about an hour ago and had a sandwich the rain didn't make me want to travel far haha
1472," A sandwich for lunch? Was it filling. I'm currently having some mix of shrimp, fish, chicken and pork. I'm considering going vegetarian though. Lol.", thats a lot of meat what dish? Why are you consideringt o go vetegarian?
1474, Cause the environment and humans suck. I'm keeping my bets open for space though in case the environment dies. I mixed up a couple of dishes. It was a buffet style place., What do you think of those meatless burgers then?
1476, I love them!!!! I've had a couple of different kinds. They are all pretty expensive though. Have you tried them?, I really like the impossible burger Which one is your favorite?
1478, I love it too. But depending on how it's prepared you can taste the peanut butter. But if prepared well I love it. What kind of food would you have eaten if it wasn't rainy?, I didn't know that it had peanut butter in it
1480, Hi!, hi
1482, How are you feeling today?, pretty good. How about you?
1484," I'm looking through some old photos of my home town, so I'm feeling nostalgic.", I feel you. Memeories always flood when looking at photos. Where is your hometown?
1486," It's called <REDACTED_TERM>, on the north coast of France.", Hope you can take some time to visit pretty soon!
1488," Yes, that would be nice. Do you like travelling?", Yes I do. But haven’t been to many places yet
1490," Where would you most like to go, if you could?", Fly to the moon  ) Haha
1492," Wow, cool! I think space tourism is going to be big in a decade or so.", Yep! I believe there is a day for that
